pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
281.245699,160.117073,247.980000,170.830000,213.750000,106.270000,216.672173,161.142050,155.110000,119.980000,197.197618,184.716512,582.120000,292.290000
294.570395,161.142050,255.000000,171.550000,221.600000,106.400000,223.030000,162.020000,162.210000,120.990000,215.647196,187.791442,582.660000,292.720000
306.870114,162.167027,262.060000,172.200000,229.040000,106.690000,229.780000,162.750000,170.710000,121.990000,232.046822,187.791442,583.120000,293.420000
310.970021,165.241956,269.240000,173.050000,236.160000,107.130000,241.271612,159.092097,178.960000,122.930000,242.296588,187.791442,583.680000,293.480000
325.319693,170.366839,276.120816,174.466746,243.240000,107.050000,247.421471,160.117073,187.100000,123.820000,254.010000,188.110000,584.200000,293.730000
337.619413,173.441769,282.940000,176.070000,250.960000,109.450000,254.596307,159.092097,195.210000,124.300000,268.945980,190.866372,584.180000,294.440000
345.819226,179.591629,NaN,NaN,256.880000,109.160000,263.821097,159.092097,203.250000,124.660000,283.295652,189.841395,584.160000,294.660000
356.068992,181.641582,311.994997,179.591629,261.670000,109.360000,273.045886,160.117073,210.980000,125.220000,294.570395,189.841395,584.250000,295.420000
358.118945,180.616605,314.044951,181.641582,267.330000,110.640000,277.145793,161.142050,219.610000,125.890000,295.595372,188.816418,584.130000,295.830000
363.243828,181.641582,318.360000,183.960000,277.380000,114.420000,286.370582,161.142050,228.010000,127.070000,287.395559,190.866372,585.070000,296.630000
366.318758,187.791442,320.460000,185.660000,284.930000,115.640000,292.520442,163.192003,235.900000,128.300000,289.445512,194.966278,586.020000,297.800000
368.368711,194.966278,321.890000,186.780000,293.000000,117.260000,303.795185,166.266933,243.900000,130.020000,291.495465,193.941301,586.680000,299.500000
368.368711,199.066184,333.519506,185.741489,301.010000,118.710000,313.019974,169.341863,251.330000,133.170000,308.920068,200.091161,587.180000,301.070000
366.318758,194.966278,342.744296,186.766465,308.870000,120.080000,319.169834,169.341863,259.000000,135.790000,299.695278,206.241021,587.550000,302.460000
347.869179,190.866372,348.794249,185.016231,316.630000,121.260000,323.269740,172.416793,266.800000,138.040000,288.420536,210.340927,588.070000,303.460000
324.294717,192.916325,357.118945,185.641582,324.590000,123.570000,325.319693,174.466746,273.130000,139.600000,276.120816,208.290974,588.050000,304.580000
329.419600,192.916325,364.120000,187.980000,332.910000,125.870000,334.544483,175.491722,279.720000,141.490000,259.721191,209.315950,588.250000,306.190000
314.044951,183.691535,370.860000,189.340000,340.930000,127.930000,340.694342,175.491722,286.500000,143.020000,249.471424,207.265997,588.040000,307.570000
310.970021,181.641582,376.350000,190.250000,348.930000,129.910000,348.894155,177.541676,293.600000,144.890000,247.421471,205.216044,588.160000,309.230000
314.044951,179.591629,382.170000,191.660000,356.580000,131.860000,357.093968,179.591629,301.080000,146.970000,249.471424,203.166091,588.590000,310.360000
321.219787,182.666559,388.600000,193.370000,363.880000,133.160000,364.580000,181.480000,308.440000,148.960000,250.250000,202.910000,589.090000,311.540000
340.694342,183.691535,395.500000,194.480000,371.510000,135.090000,372.170000,182.650000,315.670000,150.990000,259.721191,202.141114,589.790000,312.010000
346.844202,185.741489,402.220000,196.350000,379.810000,136.340000,379.510000,184.220000,323.160000,152.490000,269.970957,205.216044,590.130000,313.100000
356.068992,185.741489,409.360000,196.940000,387.700000,137.730000,386.970000,185.290000,330.350000,154.030000,276.120816,201.116138,590.730000,313.980000
360.168898,186.766465,415.440000,198.750000,395.590000,139.730000,393.920000,186.170000,336.160000,155.980000,279.195746,200.091161,591.040000,315.010000
366.318758,186.766465,421.840000,199.890000,402.170000,140.690000,399.118009,186.766465,342.490000,157.860000,290.470489,202.141114,591.090000,316.000000
370.418664,187.791442,428.160000,201.560000,409.790000,143.740000,404.242892,189.841395,349.400000,160.020000,294.570395,199.066184,591.150000,317.140000
376.568524,189.841395,434.070000,203.350000,417.980000,145.120000,410.190000,191.600000,356.340000,162.260000,304.820161,197.016231,591.110000,318.150000
380.668430,190.866372,440.580000,205.180000,425.330000,146.520000,416.330000,193.740000,362.970000,164.200000,314.044951,198.041208,591.080000,319.350000
384.768337,190.866372,447.480000,206.750000,430.892284,149.867307,428.842331,190.866372,369.950000,166.530000,322.950000,198.720000,591.080000,321.080000
387.843266,195.991255,453.980000,209.180000,433.967214,154.992190,432.942237,193.941301,376.880000,169.410000,332.010000,200.880000,591.570000,323.910000
395.018103,195.991255,460.440000,210.940000,440.210000,156.810000,442.167027,195.991255,383.690000,171.660000,335.569459,199.066184,592.040000,325.970000
403.217915,194.966278,467.060000,212.970000,446.430000,158.940000,447.291910,199.066184,390.950000,174.390000,339.940000,199.470000,592.100000,328.120000
392.968149,187.791442,472.966278,214.390880,454.900000,163.070000,453.441769,201.116138,397.860000,176.780000,347.730000,201.310000,592.080000,330.090000
405.267869,192.916325,478.940000,216.780000,462.260000,165.520000,460.616605,203.166091,403.720000,180.360000,356.380000,203.180000,592.000000,332.000000
