pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.050000,388.950000,99.824840,353.837652,35.251314,328.213237,91.597702,359.560903,58.690000,354.790000,109.440548,411.211247
23.976571,383.561974,103.924746,353.837652,41.401173,329.238213,94.414993,358.621806,61.510000,354.930000,113.196937,409.333053
23.976571,380.487044,105.974699,353.837652,43.451126,329.238213,98.171382,358.621806,62.470000,355.000000,116.014228,409.333053
28.076477,380.487044,110.074606,353.837652,46.526056,328.213237,100.049576,358.621806,63.280000,354.740000,118.831520,409.333053
28.076477,377.412114,111.099583,353.837652,48.576010,327.188260,102.866868,358.621806,65.302981,353.926320,127.283394,402.759373
33.030000,378.110000,113.149536,353.837652,53.700893,329.238213,105.684159,359.560903,NaN,NaN,131.978880,403.698470
35.360000,376.320000,117.249442,352.812675,55.750846,328.213237,109.440548,358.621806,69.998467,353.926320,136.674366,402.759373
38.500000,373.770000,117.249442,353.837652,57.800799,329.238213,108.501451,358.621806,72.815758,353.926320,139.491658,401.820276
41.350000,372.210000,120.324372,353.837652,59.850752,328.213237,113.196937,357.682708,74.693953,352.987223,145.126241,400.881178
46.526056,364.087418,124.424278,353.837652,62.925682,330.263190,114.136034,356.743611,78.450341,353.926320,150.760824,399.002984
53.890000,364.720000,126.474232,352.812675,66.000612,330.263190,118.831520,356.743611,NaN,NaN,153.578115,395.246595
57.400000,361.800000,127.499208,351.787699,69.075542,330.263190,118.831520,356.743611,83.145827,354.865417,157.334504,393.368401
54.725869,355.887605,128.524185,353.837652,71.125495,329.238213,122.587908,356.743611,85.963119,356.743611,160.151795,388.672915
59.450000,355.140000,132.624091,352.812675,74.200425,329.238213,125.405200,355.804514,88.880000,355.910000,167.664573,387.733818
62.490000,353.710000,134.674044,353.837652,76.250378,327.188260,129.161589,356.743611,92.536799,358.621806,171.420962,385.855624
66.000612,346.662816,135.699021,352.812675,79.325308,327.188260,130.100686,356.743611,96.080000,357.680000,174.238253,379.281943
72.380000,344.680000,139.798928,352.812675,84.450191,327.188260,131.978880,356.743611,97.232285,358.621806,177.994642,375.525555
76.250378,338.463003,142.873857,351.787699,86.500144,328.213237,135.735269,355.804514,101.927771,356.743611,181.751030,371.769166
81.375261,337.438026,143.898834,352.812675,89.575074,328.213237,134.796172,356.743611,103.805965,357.682708,187.385613,368.951875
90.600050,328.213237,145.948787,351.787699,90.600050,328.213237,138.552560,355.804514,102.866868,352.987223,189.263808,359.560903
99.000000,323.150000,150.048694,350.762722,94.699957,329.238213,141.369852,356.743611,105.684159,354.865417,192.081099,357.682708
106.820000,321.010000,153.123623,351.787699,96.749910,329.238213,145.126241,356.743611,108.501451,354.865417,193.959294,355.804514
114.174512,315.913518,155.173577,351.787699,101.874793,331.288167,145.126241,357.682708,110.980000,354.990000,192.081099,350.169931
118.274419,311.813611,156.198553,350.762722,103.924746,331.288167,150.760824,356.743611,114.460000,354.730000,197.715682,343.596251
126.474232,309.763658,162.348413,350.762722,104.949723,329.238213,153.578115,356.743611,116.910000,355.330000,200.532974,337.961668
130.574138,307.713705,162.348413,351.787699,105.974699,330.263190,155.456310,356.743611,119.800000,355.600000,201.472071,338.900765
133.390000,307.480000,165.423343,350.762722,108.024653,329.238213,158.273601,355.804514,122.660000,356.240000,202.411168,335.144376
137.748974,304.638775,168.498273,350.762722,111.099583,329.238213,161.090893,356.743611,126.400000,355.850000,202.411168,330.448890
142.873857,299.513892,171.573202,350.762722,114.174512,330.263190,163.908184,356.743611,128.930000,356.290000,202.411168,330.448890
144.923811,298.488915,174.648132,350.762722,118.274419,331.288167,166.725476,356.743611,130.300000,356.400000,200.532974,329.509793
146.390000,300.200000,175.673109,350.762722,122.374325,331.288167,169.542767,356.743611,133.430000,355.780000,202.411168,323.875210
153.123623,296.438962,180.797992,351.787699,124.424278,331.288167,172.360059,356.743611,135.590000,356.190000,205.228460,325.753405
156.198553,295.413985,183.872922,351.787699,126.474232,332.313143,175.177350,356.743611,138.030000,356.000000,205.228460,323.875210
158.248506,296.438962,185.922875,351.787699,128.524185,331.288167,178.933739,356.743611,136.674366,354.865417,206.167557,323.875210
160.380000,298.510000,187.972828,351.787699,129.549161,331.288167,179.872836,356.743611,141.369852,356.743611,208.984848,321.997016
162.348413,297.463939,191.047758,351.787699,133.649068,331.288167,181.751030,358.621806,144.187143,355.804514,209.923946,322.936113
163.820000,299.090000,194.122688,350.762722,134.674044,330.263190,186.446516,357.682708,146.065338,353.926320,210.863043,322.936113
165.140000,299.780000,192.072734,355.887605,136.723998,330.263190,187.385613,357.682708,147.943532,355.804514,211.802140,323.875210
168.498273,299.513892,197.197618,351.787699,139.798928,330.263190,192.081099,358.621806,NaN,NaN,214.619432,323.875210
169.523249,301.563845,204.372454,351.787699,141.848881,331.288167,193.959294,357.682708,152.639018,354.865417,216.860000,324.230000
170.810000,302.140000,204.372454,351.787699,146.973764,332.313143,197.715682,357.682708,155.070000,355.030000,217.436723,326.692502
170.970000,305.090000,206.422407,352.812675,147.998740,334.363097,198.654780,357.682708,157.080000,355.150000,217.880000,328.650000
171.270000,305.350000,206.422407,351.787699,151.073670,333.338120,202.411168,358.621806,161.020000,355.560000,218.440000,332.820000
169.523249,310.788635,210.522313,353.837652,157.223530,332.313143,205.228460,358.621806,163.880000,356.040000,220.254015,332.327085
169.390000,322.380000,210.522313,351.787699,160.298460,331.288167,208.045751,358.621806,166.480000,356.280000,221.193112,335.144376
170.548226,313.863564,215.647196,352.812675,160.298460,333.338120,211.802140,359.560903,168.370000,356.740000,222.020000,336.570000
170.500000,323.980000,218.722126,352.812675,165.423343,332.313143,211.802140,358.621806,171.610000,357.870000,223.180000,341.150000
170.548226,320.013424,218.722126,352.812675,168.498273,331.288167,213.680334,358.621806,173.860000,359.060000,224.010403,341.718057
170.990000,331.950000,222.822033,352.812675,170.548226,331.288167,215.558529,358.621806,177.994642,358.621806,225.888598,342.657154
167.473296,329.238213,224.871986,352.812675,172.598179,330.263190,217.436723,358.621806,181.751030,358.621806,228.705889,349.230834
172.240000,338.020000,227.946916,351.787699,177.723062,330.263190,221.193112,358.621806,185.507419,358.621806,229.644986,357.682708
170.548226,335.388073,233.071799,352.812675,177.723062,332.313143,222.132209,358.621806,187.385613,357.682708,227.766792,361.439097
171.170000,339.490000,234.096775,351.787699,178.748039,332.313143,223.071306,356.743611,186.446516,354.865417,225.888598,367.073680
168.498273,333.338120,236.146729,351.787699,180.797992,331.288167,226.827695,357.682708,194.898391,353.926320,226.827695,370.830069
169.523249,338.463003,237.171705,350.762722,186.947851,330.263190,229.644986,356.743611,193.959294,354.865417,229.644986,379.281943
166.900000,341.890000,239.221658,351.787699,187.972828,329.238213,230.584083,356.743611,197.715682,354.865417,230.584083,379.281943
166.770000,344.450000,243.321565,351.787699,191.047758,330.263190,231.523181,356.743611,198.654780,355.804514,233.401375,381.160138
167.770000,349.280000,247.421471,350.762722,188.997805,330.263190,236.218667,355.804514,202.411168,355.804514,238.096861,382.099235
166.700000,353.810000,249.471424,351.787699,192.072734,330.263190,238.096861,355.804514,205.228460,355.804514,231.523181,383.038332
165.960000,356.350000,253.571331,350.762722,196.172641,328.213237,239.975055,355.804514,207.800000,356.150000,237.157764,385.855624
169.620000,360.680000,255.621284,351.787699,199.247571,329.238213,241.853250,355.804514,209.900000,355.930000,239.975055,387.733818
171.080000,363.800000,255.621284,351.787699,202.322501,329.238213,244.670541,354.865417,212.430000,355.170000,242.792347,393.368401
172.598179,362.037465,258.696214,351.787699,207.447384,329.238213,247.487833,354.865417,214.540000,355.090000,245.609638,394.307498
176.800000,367.210000,261.771144,351.787699,208.472360,328.213237,250.305124,354.865417,217.070000,354.990000,248.240000,395.740000
178.748039,366.137371,266.896027,351.787699,212.572267,328.213237,252.183318,354.865417,219.630000,355.050000,250.710000,397.100000
179.830000,370.110000,266.896027,351.787699,212.572267,328.213237,255.000610,353.926320,223.780000,354.650000,260.635193,402.759373
181.280000,370.990000,267.921003,351.787699,218.722126,328.213237,257.817902,355.804514,227.640000,355.610000,265.330679,400.881178
184.630000,371.110000,272.020910,352.812675,219.747103,327.188260,261.574290,355.804514,230.280000,355.280000,266.269776,401.820276
185.350000,371.080000,274.070863,351.787699,222.822033,327.188260,266.269776,355.804514,233.550000,354.010000,272.843456,401.820276
193.610000,371.030000,278.170769,351.787699,224.871986,327.188260,269.087068,355.804514,236.860000,353.850000,275.660748,402.759373
194.140000,371.050000,280.220723,351.787699,225.896962,326.163284,271.904359,355.804514,239.770000,354.050000,280.356234,402.759373
194.880000,370.990000,282.270676,352.812675,228.971892,327.188260,271.904359,355.804514,242.790000,354.120000,282.234428,403.698470
195.780000,370.990000,286.370582,351.787699,229.996869,327.188260,277.538942,355.804514,245.120000,352.850000,292.564497,400.881178
196.900000,371.030000,289.445512,350.762722,240.246635,326.163284,281.295331,354.865417,247.810000,353.120000,299.138177,400.881178
198.870000,370.980000,289.445512,350.762722,237.171705,326.163284,282.234428,354.865417,250.070000,352.760000,301.016372,400.881178
205.397430,366.137371,291.495465,351.787699,243.321565,326.163284,285.051720,354.865417,251.900000,352.740000,304.370000,400.870000
207.447384,368.187325,293.545419,351.787699,245.371518,326.163284,286.929914,353.926320,255.540000,352.590000,308.529149,399.002984
