,t,px,py,vx,vy,ax,ay
0,0.10020876826722337,45.58929235503047,-2.0578539614975258,-3604.185941998954,281.73126663836734,18979.62734996093,11510.955495281412
1,0.10438413361169101,30.745608961767207,-0.7882649840084321,-3496.438073205731,324.7059247208266,32631.601801993,9073.905726216586
2,0.10855949895615866,16.47081433384214,0.6395155237863493,-3331.6882234019354,357.5050096547898,46283.576254025116,6636.855957151752
3,0.11273486430062629,3.0029125673329053,2.1830008264024836,-3109.9363925875678,380.1285214402567,59935.55070605719,4199.8061880869245
4,0.11691022964509393,-9.420092241682992,3.7997041883556477,-2831.182580762627,392.57646007722747,73587.52515808927,1762.7564190220978
5,0.12108559498956158,-20.56019599712805,5.447138874161524,-2495.426787927114,394.84882556570216,87239.49961012139,-674.293350042738
6,0.12526096033402923,-30.179394602924667,7.082818148335776,-2102.669014081028,386.94561790568065,100891.4740621535,-3111.343119107573
7,0.12943632567849686,-38.03968396299528,8.664255275394076,-1652.9092592243708,368.86683709716294,114543.44851418558,-5548.3928881724
8,0.1336116910229645,-43.90305998126237,10.1489635198521,-1146.147523357141,340.61248314014915,128195.42296621764,-7985.442657237226
9,0.13778705636743213,-47.59035970199533,11.495131780069377,-624.6611658186066,302.6679989514456,121596.54229474063,-10189.965269151813
10,0.14196242171189977,-49.157784730851226,12.663651489780822,-130.7275459480348,255.5188274478586,114997.66162326364,-12394.4878810664
11,0.14613778705636743,-48.72037781383411,13.616089716565229,335.65333625457765,199.16496862938774,108398.78095178658,-14599.010492981
12,0.15031315240083507,-46.39318169694796,14.314013528001347,774.4814807892246,133.60642249603376,101799.90028030955,-16803.533104895585
13,0.1544885177453027,-42.29123912619683,14.718989991667966,1185.7568876559092,58.84318904779637,95201.01960883258,-19008.055716810173
14,0.15866388308977034,-36.52959284758472,14.792586175143857,1569.479556854631,-25.124731715324458,88602.13893735554,-21212.578328724758
15,0.16283924843423797,-29.223285607115667,14.496369146007796,1925.6494883853904,-118.29733979332872,82003.25826587854,-23417.100940639342
16,0.16701461377870563,-20.531134315204497,13.80432854370781,2222.814945118971,-211.7490172981572,60338.99550950568,-21346.25258417328
17,0.17118997912317327,-10.787052539909748,12.740144295168953,2429.524189926149,-296.554146341749,38674.73275313298,-19275.404227707233
18,0.1753653444676409,-0.36872801370070407,11.339918899185536,2545.7772228069284,-372.71272692410463,17010.469996760276,-17204.555871241184
19,0.17954070981210854,10.346151530953367,9.639754854551851,2571.574043761308,-440.22475904522423,-4653.792759612428,-15133.707514775138
20,0.18371607515657618,20.979898361583132,7.675754660062213,2506.914652789288,-499.0902427051077,-26318.05551598514,-13062.85915830909
21,0.1878914405010438,31.15482474571929,5.484020814510925,2351.799049890869,-549.3091779037551,-47982.31827235784,-10992.010801843044
22,0.19206680584551147,40.49324295089258,3.1006558166922726,2106.227235066048,-590.8815646411667,-69646.5810287307,-8921.162445376982
23,0.1962421711899791,48.667012014228945,0.5683573575961826,1805.798562269095,-619.0687573248138,-74258.75324101002,-4580.502850089957
24,0.20041753653444674,55.54617805123592,-2.04379610300513,1486.1123854542745,-629.1321103621685,-78870.92545328935,-239.84325480293046
25,0.20459290187891438,61.05033394701636,-4.660130913143849,1147.1687046215854,-621.0716237532306,-83483.09766556868,4100.816340484094
26,0.20876826722338201,65.09907258667313,-7.204973420852155,788.9675197710293,-594.8872974980007,-88095.26987784801,8441.475935771121
27,0.21294363256784968,67.61198685530908,-9.602649974162247,411.50883090260277,-550.579131596478,-92707.44209012737,12782.135531058175
28,0.2171189979123173,68.50866963802702,-11.777486921106274,14.792638016310775,-488.14712604866304,-97319.6143024067,17122.7951263452
29,0.22129436325678495,67.7087138199298,-13.65381060971643,-401.18105888784874,-407.59128085455575,-101931.78651468603,21463.454721632224
30,0.22546972860125258,65.18716003658645,-15.169176505330705,-796.5730510999657,-318.41671679837407,-87460.9777549181,21251.161461278887
31,0.22964509394572022,61.140839925430384,-16.314056542510283,-1131.5441299101283,-230.1285546643356,-72990.16899515015,21038.86820092555
32,0.23382045929018785,55.822032874361234,-17.09215177312215,-1406.0942953183378,-142.7267944524406,-58519.36023538222,20826.574940572216
33,0.23799582463465552,49.48301827127855,-17.5071632490333,-1620.2235473245942,-56.211436162688386,-44048.55147561421,20614.281680218883
34,0.24217118997912315,42.37607550408202,-17.562792022110706,-1773.9318859288956,29.41752020491991,-29577.742715846267,20401.98841986555
35,0.2463465553235908,34.753483960671176,-17.262739144221367,-1867.2193111312436,114.16007465038487,-15106.933956078341,20189.695159512212
36,0.25052192066805845,26.867523028945577,-16.610705667232253,-1900.0858229316375,198.016227173707,-636.1251963103133,19977.40189915888
37,0.25469728601252606,18.9514090972738,-15.619513740681088,-1886.2281864932368,274.43246909848557,7273.9330503045185,16625.977982810353
38,0.2588726513569937,11.162106555899278,-14.338469904788314,-1839.3431669791987,336.8552917483233,15183.991296919456,13274.554066461777
39,0.26304801670146133,3.637516795534702,-12.82600179744518,-1759.4307643895252,385.28469512321857,23094.049543534285,9923.130150113248
40,0.267223382045929,-3.4844587931076743,-11.140537056542847,-1646.4909787242152,419.72067922317274,31004.107790149224,6571.706233764675
41,0.27139874739039666,-10.065918819315272,-9.340503319972521,-1500.523809983268,440.1632440481849,38914.16603676416,3220.2823174161003
42,0.27557411273486426,-15.968961892375546,-7.484328225625429,-1321.5292581666863,446.61238959825505,46824.224283378986,-131.1415989324296
43,0.2797494780793319,-21.05568662157618,-5.630439411392722,-1109.5073232744662,439.0681158733836,54734.28252999393,-3482.565515281003
