,t,px,py,vx,vy,ax,ay
0,0.09611098265895954,-30.035624227306943,-10.873890694854298,155.880912272293,-456.22734525863126,-2813.4073623578606,28873.983860036882
1,0.09811329479768785,-29.729058728018305,-11.730554197939094,150.37208164787896,-399.96410005953913,-2689.062025769346,27324.292233744807
2,0.10011560693641618,-29.43327436114623,-12.477667675796457,145.1122292003103,-346.803821215057,-2564.7166891808297,25774.600607452725
3,0.1021179190751445,-29.14777259466496,-13.121444235624281,140.10135492958713,-296.746508725185,-2440.3713525923145,24224.90898116064
4,0.10412023121387283,-28.87205489654871,-13.668096984620469,135.33945883570945,-249.7921625899233,-2316.0260160037983,22675.217354868557
5,0.10612254335260114,-28.605622734771703,-14.123839029982921,130.82654091867715,-205.9407828092722,-2191.680679415283,21125.525728576482
6,0.10812485549132947,-28.347977577308175,-14.494883478909541,126.56260117849033,-165.19236938323112,-2067.3353428267674,19575.834102284396
7,0.1101271676300578,-28.098620892132338,-14.787443438598228,122.54763961514894,-127.54692231180024,-1942.9900062382521,18026.14247599231
8,0.11212947976878612,-27.85705414721841,-15.007732016246885,118.78165622865295,-93.00444159497972,-1818.644669649736,16476.450849700228
9,0.11413179190751445,-27.62277881054064,-15.161962319053416,115.26465101900246,-61.56492723276942,-1694.2993330612203,14926.759223408142
10,0.11613410404624276,-27.395296350073227,-15.256347454215723,111.99662398619742,-33.228379225169625,-1569.9539964727055,13377.067597116069
11,0.11813641618497109,-27.174108233790403,-15.29719694589368,108.97757513023777,-8.139256011177748,-1445.6086598841898,11683.084342956603
12,0.12013872832369941,-26.95871592966639,-15.291205986095118,106.2075044511236,13.557983970208104,-1321.2633232956737,9989.101088797137
13,0.12214104046242774,-26.748620905675416,-15.245166183789818,103.68641194885485,31.86334071898793,-1196.917986707158,8295.117834637671
14,0.12414335260115605,-26.543324629791716,-15.165869147947582,101.4142976234316,46.77681423516169,-1072.5726501186432,6601.134580478216
15,0.1261456647398844,-26.34232856998949,-15.060106487538205,99.39116147485373,58.2984045187296,-948.2273135301266,4907.15132631874
16,0.1281479768786127,-26.14513419424297,-14.93466981153149,97.61700350312134,66.42811156969138,-823.8819769416116,3213.168072159285
17,0.13015028901734102,-25.951242970526398,-14.796350728897224,96.0918237082344,71.16593538804717,-699.5366403530967,1519.1848179998308
18,0.13215260115606936,-25.760156366813973,-14.651940848605202,94.81562209019287,72.51187597379702,-575.1913037645801,-174.7984361596466
19,0.13415491329479767,-25.571375851079928,-14.508231779625229,93.7883986489968,70.46593332694084,-450.8459671760652,-1868.7816903191008
20,0.136157225433526,-25.384774502465866,-14.370872900790232,92.45338030188456,66.73947419410531,-882.6307883113363,-1853.3743719242177
21,0.13815953757225433,-25.201711844782892,-14.240944670385698,90.25379396609453,63.04386532191715,-1314.4156094466016,-1837.9670535293349
22,0.14016184971098264,-25.023919013009504,-14.118385316560248,87.18963964162675,59.37910671037632,-1746.2004305818666,-1822.5597351344518
23,0.14216416184971098,-24.853127142124173,-14.00313306746251,83.26091732848113,55.74519835948276,-2177.985251717138,-1807.152416739569
24,0.1441664739884393,-24.691067367105383,-13.895126151241103,78.46762702665778,52.14214026923658,-2609.770072852403,-1791.7450983446859
25,0.14616878612716763,-24.539470822931634,-13.79430279604465,72.80976873615657,48.56993243963767,-3041.5548939876735,-1776.3377799498026
26,0.14817109826589595,-24.400068644581395,-13.700601230021773,66.28734245697765,45.028574870686136,-3473.3397151229397,-1760.93046155492
27,0.15017341040462426,-24.274591967033164,-13.6139596813211,58.90034818912095,41.51806756238192,-3905.1245362582044,-1745.5231431600369
28,0.1521757225433526,-24.164771925265416,-13.534316378091244,50.64878593258637,38.038410514724994,-4336.909357393475,-1730.1158247651538
29,0.1541780346820809,-24.072339654256655,-13.461609548480842,41.53265568737413,34.58960372771545,-4768.69417852874,-1714.708506370271
30,0.15618034682080922,-23.999026288985345,-13.395777420638508,31.551957453484107,31.17164720135323,-5200.478999664007,-1699.301187975388
31,0.15818265895953756,-23.946562964429983,-13.336758222712865,20.706691230916157,27.78454093563829,-5632.263820799277,-1683.893869580505
32,0.16018497109826588,-23.91668081556905,-13.284490182852537,8.996857019670564,24.428284930570708,-6064.0486419345425,-1668.4865511856221
33,0.16218728323699422,-23.91111097738103,-13.238911529206147,-3.577545180252983,21.10287918615042,-6495.833463069814,-1653.079232790739
34,0.16418959537572253,-23.931584584844416,-13.19996048992232,-17.016515368854115,17.8083237023775,-6927.618284205079,-1637.6719143958562
35,0.16619190751445084,-23.979832772937684,-13.167575293149676,-31.320053546133053,14.544618479251906,-7359.403105340344,-1622.2645960009731
36,0.16819421965317918,-24.057586676639325,-13.141694167036839,-46.48815971208994,11.311763516773588,-7791.187926475615,-1606.85727760609
37,0.1701965317919075,-24.16657743092783,-13.122255339732428,-62.520833866724445,8.10975881494265,-8222.97274761088,-1591.4499592112072
38,0.17219884393063584,-24.30637097970147,-13.109106072042229,-76.1740397206954,5.074897823348582,-5414.46727973875,-1439.9065739629807
39,0.17420115606936415,-24.46787250253768,-13.101729755400617,-84.203740984661,2.343473991581057,-2605.9618118666576,-1288.3631887147567
40,0.17620346820809246,-24.639821987933722,-13.099518813899135,-86.60993765862146,-0.08451268035996645,202.5436560054327,-1136.8198034665324
41,0.1782057803468208,-24.810959424386823,-13.101865671629318,-83.39262974257673,-2.2090621924745175,3011.049123877564,-985.2764182183059
42,0.18020809248554912,-24.970024800394214,-13.108162752682707,-74.55181723652687,-4.030174544762533,5819.554591749655,-833.7330329700818
